2026 Fantasy Baseball Keeper Values,,,,,
  Meet me at Stan's  —  Scott,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Bryan Reynolds,Scott,$21,2x,3rd (+$7),$28
Mark Vientos,Scott,$4,1x,2nd (+$5),$9
Anthony Volpe,Scott,$4,1x,2nd (+$5),$9
Jasson Domínguez,Scott,$4,1x,2nd (+$5),$9
Kodai Senga,Scott,$4,1x,2nd (+$5),$9
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,2025 Price,—,Next Keep,2026 Price
Ben Rice,Scott,$4,—,1st (+$3),$7
Freddie Freeman,Scott,$39,—,1st (+$3),$42
Amed Rosario,Scott,$4,—,1st (+$3),$7
Jacob Wilson,Scott,$4,—,1st (+$3),$7
Noelvi Marte,Scott,$4,—,1st (+$3),$7
Gleyber Torres,Scott,$7,—,1st (+$3),$10
Rafael Devers,Scott,$40,—,1st (+$3),$43
Chris Paddack,Scott,$4,—,1st (+$3),$7
Eury Pérez,Scott,$4,—,1st (+$3),$7
Will Vest,Scott,$4,—,1st (+$3),$7
Robert Suarez,Scott,$12,—,1st (+$3),$15
Garrett Cleavinger,Scott,$4,—,1st (+$3),$7
Luke Weaver,Scott,$2,—,1st (+$3),$5
Jack Leiter,Scott,$4,—,1st (+$3),$7
Jesús Luzardo,Scott,$2,—,1st (+$3),$5
Yu Darvish,Scott,$1,—,1st (+$3),$4
Sandy Alcantara,Scott,$20,—,1st (+$3),$23
Cole Ragans,Scott,$32,—,1st (+$3),$35
Luis Robert Jr.,Scott,$17,—,1st (+$3),$20
Jacob Lopez,Scott,$4,—,1st (+$3),$7
Chris Bassitt,Scott,$3,—,1st (+$3),$6
Jeimer Candelario,Scott,$1,—,1st (+$3),$4
,,,,,
  Boat Lords  —  Marc,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Dylan Cease,Marc,$25,1x,2nd (+$5),$30
Marcell Ozuna,Marc,$9,2x,3rd (+$7),$16
Michael King,Marc,$16,3x,Ineligible,INELIGIBLE
Shohei Ohtani (Pitcher),Marc,$4,1x,2nd (+$5),$9
Will Smith,Marc,$21,1x,2nd (+$5),$26
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,2025 Price,—,Next Keep,2026 Price
Paul Goldschmidt,Marc,$8,—,1st (+$3),$11
Jose Altuve,Marc,$27,—,1st (+$3),$30
Miguel Vargas,Marc,$4,—,1st (+$3),$7
Corey Seager,Marc,$34,—,1st (+$3),$37
Trevor Larnach,Marc,$4,—,1st (+$3),$7
Andy Pages,Marc,$4,—,1st (+$3),$7
Masyn Winn,Marc,$8,—,1st (+$3),$11
Colton Cowser,Marc,$11,—,1st (+$3),$14
Max Muncy,Marc,$5,—,1st (+$3),$8
José Soriano,Marc,$4,—,1st (+$3),$7
Yoshinobu Yamamoto,Marc,$29,—,1st (+$3),$32
Tyler Rogers,Marc,$3,—,1st (+$3),$6
Kyle Leahy,Marc,$4,—,1st (+$3),$7
Blake Treinen,Marc,$3,—,1st (+$3),$6
Phil Maton,Marc,$4,—,1st (+$3),$7
Aroldis Chapman,Marc,$5,—,1st (+$3),$8
Emilio Pagán,Marc,$4,—,1st (+$3),$7
Eduardo Rodriguez,Marc,$4,—,1st (+$3),$7
Alex Vesia,Marc,$4,—,1st (+$3),$7
Rhys Hoskins,Marc,$3,—,1st (+$3),$6
Kyle Stowers,Marc,$4,—,1st (+$3),$7
,,,,,
  Bring back Mookie  —  Manz,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Juan Soto,Manz,$51,2x,3rd (+$7),$58
Jarren Duran,Manz,$19,1x,2nd (+$5),$24
Triston Casas,Manz,$16,3x,Ineligible,INELIGIBLE
Roman Anthony,Manz,$4,1x,2nd (+$5),$9
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,2025 Price,—,Next Keep,2026 Price
Kyle Teel,Manz,$1,—,1st (+$3),$4
Michael Busch,Manz,$1,—,1st (+$3),$4
Mookie Betts,Manz,$48,—,1st (+$3),$51
Maikel Garcia,Manz,$1,—,1st (+$3),$4
Geraldo Perdomo,Manz,$4,—,1st (+$3),$7
Ryan O'Hearn,Manz,$4,—,1st (+$3),$7
Mike Trout,Manz,$22,—,1st (+$3),$25
Jared Triolo,Manz,$4,—,1st (+$3),$7
Carlos Narváez,Manz,$4,—,1st (+$3),$7
Carson Kelly,Manz,$4,—,1st (+$3),$7
Zack Littell,Manz,$4,—,1st (+$3),$7
Tanner Bibee,Manz,$18,—,1st (+$3),$21
Greg Weissert,Manz,$4,—,1st (+$3),$7
Gabe Speier,Manz,$4,—,1st (+$3),$7
Adrian Morejon,Manz,$4,—,1st (+$3),$7
Quinn Priester,Manz,$4,—,1st (+$3),$7
Aaron Nola,Manz,$23,—,1st (+$3),$26
Eric Lauer,Manz,$4,—,1st (+$3),$7
Garrett Whitlock,Manz,$4,—,1st (+$3),$7
Merrill Kelly,Manz,$1,—,1st (+$3),$4
Wilyer Abreu,Manz,$4,—,1st (+$3),$7
,,,,,
