2026 Fantasy Baseball Keeper Values,,,,,
  Meet me at Stan's  —  Scott,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Bryan Reynolds,Scott,$21,2x,3rd (+$7),$28
Mark Vientos,Scott,$4,1x,2nd (+$5),$9
Anthony Volpe,Scott,$4,1x,2nd (+$5),$9
Jasson Domínguez,Scott,$4,1x,2nd (+$5),$9
Kodai Senga,Scott,$4,1x,2nd (+$5),$9
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,Draft Price,—,Next Keep,2026 Price
Ben Rice,Scott,$1,—,1st (+$3),$4
Freddie Freeman,Scott,$39,—,1st (+$3),$42
Amed Rosario,Scott,$1,—,1st (+$3),$4
Jacob Wilson,Scott,$1,—,1st (+$3),$4
Noelvi Marte,Scott,$1,—,1st (+$3),$4
Gleyber Torres,Scott,$7,—,1st (+$3),$10
Rafael Devers,Scott,$40,—,1st (+$3),$43
Chris Paddack,Scott,$1,—,1st (+$3),$4
Eury Pérez,Scott,$1,—,1st (+$3),$4
Will Vest,Scott,$1,—,1st (+$3),$4
Robert Suarez,Scott,$12,—,1st (+$3),$15
Garrett Cleavinger,Scott,$1,—,1st (+$3),$4
Luke Weaver,Scott,$2,—,1st (+$3),$5
Jack Leiter,Scott,$1,—,1st (+$3),$4
Jesús Luzardo,Scott,$2,—,1st (+$3),$5
Yu Darvish,Scott,$1,—,1st (+$3),$4
Sandy Alcantara,Scott,$20,—,1st (+$3),$23
Cole Ragans,Scott,$32,—,1st (+$3),$35
Luis Robert Jr.,Scott,$17,—,1st (+$3),$20
Jacob Lopez,Scott,$1,—,1st (+$3),$4
Chris Bassitt,Scott,$3,—,1st (+$3),$6
Jeimer Candelario,Scott,$1,—,1st (+$3),$4
,,,,,
  Boat Lords  —  Marc,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Dylan Cease,Marc,$25,1x,2nd (+$5),$30
Marcell Ozuna,Marc,$9,2x,3rd (+$7),$16
Michael King,Marc,$16,3x,Ineligible,INELIGIBLE
Shohei Ohtani (Pitcher),Marc,$4,1x,2nd (+$5),$9
Will Smith,Marc,$21,1x,2nd (+$5),$26
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,Draft Price,—,Next Keep,2026 Price
Paul Goldschmidt,Marc,$8,—,1st (+$3),$11
Jose Altuve,Marc,$27,—,1st (+$3),$30
Miguel Vargas,Marc,$1,—,1st (+$3),$4
Corey Seager,Marc,$34,—,1st (+$3),$37
Trevor Larnach,Marc,$1,—,1st (+$3),$4
Andy Pages,Marc,$1,—,1st (+$3),$4
Masyn Winn,Marc,$8,—,1st (+$3),$11
Colton Cowser,Marc,$11,—,1st (+$3),$14
Max Muncy,Marc,$5,—,1st (+$3),$8
José Soriano,Marc,$1,—,1st (+$3),$4
Yoshinobu Yamamoto,Marc,$29,—,1st (+$3),$32
Tyler Rogers,Marc,$3,—,1st (+$3),$6
Kyle Leahy,Marc,$1,—,1st (+$3),$4
Blake Treinen,Marc,$3,—,1st (+$3),$6
Phil Maton,Marc,$1,—,1st (+$3),$4
Aroldis Chapman,Marc,$5,—,1st (+$3),$8
Emilio Pagán,Marc,$1,—,1st (+$3),$4
Eduardo Rodriguez,Marc,$1,—,1st (+$3),$4
Alex Vesia,Marc,$1,—,1st (+$3),$4
Rhys Hoskins,Marc,$3,—,1st (+$3),$6
Kyle Stowers,Marc,$1,—,1st (+$3),$4
,,,,,
  Bring back Mookie  —  Manz,,,,,
  ★ Previously Kept Players,,,,,
Player,Owner,2025 Price,Times Kept,Next Keep,2026 Price
Juan Soto,Manz,$51,2x,3rd (+$7),$58
Jarren Duran,Manz,$19,1x,2nd (+$5),$24
Triston Casas,Manz,$16,3x,Ineligible,INELIGIBLE
Roman Anthony,Manz,$4,1x,2nd (+$5),$9
  ✦ New Eligible Players (1st Keep Available),,,,,
Player,Owner,Draft Price,—,Next Keep,2026 Price
Kyle Teel,Manz,$1,—,1st (+$3),$4
Michael Busch,Manz,$1,—,1st (+$3),$4
Mookie Betts,Manz,$48,—,1st (+$3),$51
Maikel Garcia,Manz,$1,—,1st (+$3),$4
Geraldo Perdomo,Manz,$1,—,1st (+$3),$4
Ryan O'Hearn,Manz,$1,—,1st (+$3),$4
Mike Trout,Manz,$22,—,1st (+$3),$25
Jared Triolo,Manz,$1,—,1st (+$3),$4
Carlos Narváez,Manz,$1,—,1st (+$3),$4
Carson Kelly,Manz,$1,—,1st (+$3),$4
Zack Littell,Manz,$1,—,1st (+$3),$4
Tanner Bibee,Manz,$18,—,1st (+$3),$21
Greg Weissert,Manz,$1,—,1st (+$3),$4
Gabe Speier,Manz,$1,—,1st (+$3),$4
Adrian Morejon,Manz,$1,—,1st (+$3),$4
Quinn Priester,Manz,$1,—,1st (+$3),$4
Aaron Nola,Manz,$23,—,1st (+$3),$26
Eric Lauer,Manz,$1,—,1st (+$3),$4
Garrett Whitlock,Manz,$1,—,1st (+$3),$4
Merrill Kelly,Manz,$1,—,1st (+$3),$4
Wilyer Abreu,Manz,$1,—,1st (+$3),$4
,,,,,
